cafe_id,atmosphere_desc,specials_desc
0,chic,nutty
1,chic,fruity
2,local,chocolatey
3,cozy,spicy
4,bustling,fruity
5,modern,fruity
6,cozy,rich
7,modern,sweet
8,authentic,
9,funky,
10,funky,creamy
11,authentic,
12,airy,floral
13,cheap,creamy
0,bright,sweet
1,upscale,vanilla
2,bustling,sweet
3,local,nutty
4,local,sweet
5,chic,bitter
6,bright,strong
7,airy,vanilla
8,cozy,
9,modern,
10,airy,sweet
11,cozy,
12,modern,
13,modern,sweet
0,upscale,creamy
1,bustling,creamy
2,cozy,creamy
3,authentic,rich
4,bright,earthy
5,upscale,sweet
6,hole in the wall,earthy
7,local,rich
8,funky,
9,airy,
10,hole in the wall,strong
11,modest,
12,cheap,sweet
13,modest,chocolatey
0,chic,nutty
0,funky,
0,bright,
